x,y,radius,text,text_digits,penalty
488,2254,28.20000076293945,4.0,4,1.0
1410,1856,28.20000076293945,6.0,6,1.0
2013,1991,28.20000076293945,7.0,7,1.0
2489,1431,28.20000076293945,14.0,14,1.0
2675,454,28.20000076293945,20.0,20,1.0
2972,383,28.20000076293945,22.0,22,1.0
2022,1585,30.5,9.0,9,1.0
2120,513,30.5,16.0,16,1.0
2392,1777,30.5,10.0,10,1.0
2496,867,30.5,17.0,17,1.0
2499,1969,30.5,11.0,11,1.0
2756,1607,30.5,15.0,15,1.0
921,2075,30.20000076293945,5.0,5,1.0
1691,1411,30.20000076293945,8.0,8,1.0
1830,874,30.20000076293945,12.0,12,1.0
2095,1074,30.20000076293945,13.0,13,1.0
2391,232,30.20000076293945,19.0,19,1.0
2704,124,30.20000076293945,,SK,1.0
2877,1122,30.20000076293945,18.0,18,1.0
2945,671,28.10000038146973,21.0,21,1.0
