,x,y,radius,text,text_digits
0,965,1530,28.200000762939453,23,23
1,1305,1657,28.200000762939453,26°,26
2,1404,1310,28.200000762939453,21,21
3,1581,546,28.200000762939453,20,20
4,238,684,30.5,6*,6
5,667,311,30.5,7,7
6,1248,647,30.5,18,18
7,2026,2541,30.5,28°,28
8,480,802,30.200000762939453,9,9
9,554,1336,30.200000762939453,17,17
10,714,990,30.200000762939453,15,15
11,720,745,30.200000762939453,11,11
12,897,1159,30.200000762939453,16,16
13,947,643,30.200000762939453,ak,13
14,984,252,30.200000762939453,14,14
15,1126,850,30.200000762939453,"25""",25
16,1150,1050,30.200000762939453,19,19
17,1290,349,30.200000762939453,22,22
18,1632,908,30.200000762939453,24,24
19,1794,1978,30.200000762939453,2/*,27
21,462,1061,30.799999237060547,10,10
22,475,506,30.799999237060547,8,8
23,783,498,27.5,12,12
