,x,y,radius,text,text_digits
0,1795,555,28.200000762939453,59,59
1,537,255,30.5,64*,64
2,884,511,30.5,60,60
3,1039,98,30.5,53,53
4,1292,792,30.5,54,54
5,1492,475,30.5,55,55
6,1612,3145,30.5,50,50
7,1000,1710,30.200000762939453,52*,52
8,1053,1216,30.200000762939453,53*,53
9,1182,470,30.200000762939453,56,56
10,1332,184,30.200000762939453,62,62
11,1528,2181,30.200000762939453,51,51
12,1564,844,30.200000762939453,61,61
13,1674,241,30.200000762939453,58,58
14,1019,799,27.399999618530273,o/,
