,x,y,radius,text,text_digits
0,862,456,28.200000762939453,38-Ar,38
1,1344,1343,28.200000762939453,43-,43
2,653,891,30.5,48-A,48
3,1901,1238,30.5,Peg,
4,2088,1205,30.5,35-1,351
5,1203,1125,30.200000762939453,cao,
6,1370,697,30.200000762939453,oS,
7,1432,839,30.200000762939453,ns,
8,1553,682,30.200000762939453,"45-""",45
9,1562,1586,30.200000762939453,XaM,
10,1785,932,30.200000762939453,40-1,401
11,1816,1510,30.200000762939453,42.,42
12,1824,646,30.200000762939453,_,
13,1954,970,30.200000762939453,41-,41
